pair_id,group_id,r_ap,x_o,y_o,x_e,y_e,flux_o,flux_e,sky_o,sky_e
4,3,5,278.9169335822873,64.67893641073714,308.88343657977146,70.22924614170911,35.53228204664492,22.37720369961653,-47.0,-47.0
4,3,6,278.9169335822873,64.67893641073714,308.88343657977146,70.22924614170911,39.69891377939439,27.27256377483718,-47.0,-47.0
4,3,8,278.9169335822873,64.67893641073714,308.88343657977146,70.22924614170911,66.62821406846706,22.653210872766067,-47.0,-47.0
5,3,3,212.7648546675352,72.87135417128842,243.0013694088173,78.46120168520764,229.07183388217072,212.5588856174827,-47.0,-46.5
5,3,4,212.7648546675352,72.87135417128842,243.0013694088173,78.46120168520764,250.90420563390853,218.72387623646364,-47.0,-46.5
5,3,5,212.7648546675352,72.87135417128842,243.0013694088173,78.46120168520764,268.3705670081972,226.08242765805926,-47.0,-46.5
5,3,6,212.7648546675352,72.87135417128842,243.0013694088173,78.46120168520764,288.2996112182145,229.5535631355142,-47.0,-46.5
5,3,8,212.7648546675352,72.87135417128842,243.0013694088173,78.46120168520764,312.5161774788394,218.64606503081268,-47.0,-46.5
6,3,3,203.76005558027327,104.02104601508752,234.00195068659764,109.7328945115709,86.9960817524211,88.43751112475343,-46.5,-46.5
6,3,4,203.76005558027327,104.02104601508752,234.00195068659764,109.7328945115709,89.76178440200056,92.89096111972003,-46.5,-46.5
6,3,5,203.76005558027327,104.02104601508752,234.00195068659764,109.7328945115709,97.81114451077974,90.51939140164814,-46.5,-46.5
6,3,6,203.76005558027327,104.02104601508752,234.00195068659764,109.7328945115709,102.66988936995222,88.2954733828119,-46.5,-46.5
6,3,8,203.76005558027327,104.02104601508752,234.00195068659764,109.7328945115709,118.13940689919582,99.10064273924036,-46.5,-46.5
7,3,3,204.25911633846127,112.59188219786556,234.5519046407236,118.22830086637914,40.95171359840242,37.2842179295958,-46.5,-46.5
7,3,4,204.25911633846127,112.59188219786556,234.5519046407236,118.22830086637914,46.12164268707875,37.665697350371374,-46.5,-46.5
7,3,5,204.25911633846127,112.59188219786556,234.5519046407236,118.22830086637914,48.814976562565334,33.54454206250921,-46.5,-46.5
7,3,6,204.25911633846127,112.59188219786556,234.5519046407236,118.22830086637914,56.398125030459596,31.045759982180243,-46.5,-46.5
7,3,8,204.25911633846127,112.59188219786556,234.5519046407236,118.22830086637914,81.82967007562729,44.168825349626786,-46.5,-46.5
8,3,3,71.2583193012277,127.08976092692734,101.9028057877646,132.92457976885387,1187.3844273702866,1170.5093389035799,-46.5,-46.5
8,3,4,71.2583193012277,127.08976092692734,101.9028057877646,132.92457976885387,1247.8783019103848,1226.2216316218805,-46.5,-46.5
8,3,5,71.2583193012277,127.08976092692734,101.9028057877646,132.92457976885387,1266.803750452863,1248.5574569567284,-46.5,-46.5
8,3,6,71.2583193012277,127.08976092692734,101.9028057877646,132.92457976885387,1278.1844272837284,1261.5672509294213,-46.5,-46.5
8,3,8,71.2583193012277,127.08976092692734,101.9028057877646,132.92457976885387,1287.7017208730722,1292.518061601757,-46.5,-46.5
9,3,3,22.973279398922937,127.49635218138252,53.87436978834416,133.3154309673211,156.06686679206882,144.65725192710715,-47.0,-46.5
9,3,4,22.973279398922937,127.49635218138252,53.87436978834416,133.3154309673211,165.09287362184432,151.6552850445314,-47.0,-46.5
9,3,5,22.973279398922937,127.49635218138252,53.87436978834416,133.3154309673211,176.68370451466217,155.90324900843916,-47.0,-46.5
9,3,6,22.973279398922937,127.49635218138252,53.87436978834416,133.3154309673211,191.4450292291849,156.24307122404116,-47.0,-46.5
9,3,8,22.973279398922937,127.49635218138252,53.87436978834416,133.3154309673211,215.6595554796986,165.00236443778886,-47.0,-46.5
10,3,3,177.8648485544969,130.77553320323466,208.07735668337887,136.44325977796177,777.3201537103354,812.552645908625,-46.5,-46.5
10,3,4,177.8648485544969,130.77553320323466,208.07735668337887,136.44325977796177,826.5273638984177,854.5348184203431,-46.5,-46.5
10,3,5,177.8648485544969,130.77553320323466,208.07735668337887,136.44325977796177,842.9115417900416,871.3629719896853,-46.5,-46.5
10,3,6,177.8648485544969,130.77553320323466,208.07735668337887,136.44325977796177,850.7921714811118,880.2492551359519,-46.5,-46.5
10,3,8,177.8648485544969,130.77553320323466,208.07735668337887,136.44325977796177,873.6871297464313,915.0596866596497,-46.5,-46.5
11,3,3,315.70748888238023,142.77466266088055,345.6848894980863,148.25234960706177,127.9149460252911,125.39541677990155,-46.5,-47.0
11,3,4,315.70748888238023,142.77466266088055,345.6848894980863,148.25234960706177,140.71012189085377,145.83664057329634,-46.5,-47.0
11,3,5,315.70748888238023,142.77466266088055,345.6848894980863,148.25234960706177,141.400660206471,155.11302639664927,-46.5,-47.0
11,3,6,315.70748888238023,142.77466266088055,345.6848894980863,148.25234960706177,139.1526772599209,166.49847267758105,-46.5,-47.0
11,3,8,315.70748888238023,142.77466266088055,345.6848894980863,148.25234960706177,135.67768342784802,171.95968116505537,-46.5,-47.0
12,3,3,19.41210298548798,144.8790053484839,50.18690896597071,150.78207330522108,41.60741206647572,41.8169811971552,-47.0,-46.5
12,3,4,19.41210298548798,144.8790053484839,50.18690896597071,150.78207330522108,45.139047066001694,46.2418468842302,-47.0,-46.5
12,3,5,19.41210298548798,144.8790053484839,50.18690896597071,150.78207330522108,45.92254558844343,53.66474805016833,-47.0,-46.5
12,3,6,19.41210298548798,144.8790053484839,50.18690896597071,150.78207330522108,57.15005489276609,59.09060788032184,-47.0,-46.5
12,3,8,19.41210298548798,144.8790053484839,50.18690896597071,150.78207330522108,83.21048106525996,64.47845159166354,-47.0,-46.5
13,3,3,353.3999546482896,183.02692894044125,383.37069252142527,188.59747643631985,24.40585648024512,326.31581314288223,-47.0,-46.0
13,3,4,353.3999546482896,183.02692894044125,383.37069252142527,188.59747643631985,32.13767695348906,710.3073648601808,-47.0,-46.0
13,3,5,353.3999546482896,183.02692894044125,383.37069252142527,188.59747643631985,35.72828523598082,1233.3551627416123,-47.0,-46.0
13,3,6,353.3999546482896,183.02692894044125,383.37069252142527,188.59747643631985,34.03207957514405,1892.3887210999856,-47.0,-46.0
