F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
A,3408,529.794,32.699,22.446,0.063,0.368,0.088,78.41366,-65.50923
A,75,544.003,31.898,19.365,0.010,-0.009,0.013,78.41682,-65.50932
A,112,538.348,42.701,22.723,0.080,0.407,0.148,78.41560,-65.50832
A,155,526.015,57.441,22.167,0.064,0.605,0.099,78.41290,-65.50694
B,83,531.136,47.955,22.635,0.067,0.469,0.118,78.41401,-65.50783
A,120,559.630,45.427,22.468,0.071,0.443,0.097,78.42034,-65.50810
A,152,559.074,56.449,20.975,0.027,0.414,0.036,78.42025,-65.50708
A,167,549.779,60.705,22.461,0.070,0.577,0.102,78.41820,-65.50667
A,3432,566.730,40.378,22.339,0.066,0.343,0.089,78.42190,-65.50857
A,3463,551.016,51.418,22.839,0.081,0.677,0.167,78.41844,-65.50753
B,79,560.821,42.453,18.627,0.009,0.141,0.011,78.42059,-65.50837
B,2875,569.409,44.563,19.296,0.009,0.885,0.017,78.42251,-65.50819
B,97,563.420,54.914,22.432,0.051,0.722,0.092,78.42121,-65.50723
B,2934,551.404,65.537,21.297,0.032,0.448,0.045,78.41857,-65.50623
B,7238,567.191,54.647,21.774,0.049,0.217,0.092,78.42205,-65.50726
B,7449,570.878,53.331,20.656,0.243,-0.813,0.263,78.42286,-65.50738
B,7487,570.014,54.558,20.287,0.022,-0.301,0.103,78.42268,-65.50727
A,3464,546.996,51.905,23.056,0.100,0.627,0.171,78.41755,-65.50748
A,3469,540.275,55.209,22.890,0.082,0.610,0.159,78.41607,-65.50717
A,3482,532.650,59.973,19.879,0.014,0.156,0.021,78.41439,-65.50672
B,109,544.462,56.713,19.607,0.011,0.236,0.016,78.41700,-65.50704
B,119,529.536,61.265,21.714,0.024,0.470,0.048,78.41370,-65.50660
B,2924,537.873,59.339,19.207,0.019,0.919,0.023,78.41555,-65.50679
A,6173,551.224,70.685,21.654,0.044,0.416,0.060,78.41855,-65.50576
A,6185,548.839,77.826,22.237,0.065,0.666,0.102,78.41804,-65.50509
B,133,542.244,69.971,20.342,0.015,1.622,0.035,78.41655,-65.50581
B,156,542.314,79.569,22.484,0.056,0.662,0.091,78.41660,-65.50493
B,2972,534.999,84.798,22.836,0.087,0.608,0.160,78.41499,-65.50443
A,124,597.660,47.201,19.617,0.011,0.054,0.014,78.42880,-65.50798
B,107,600.690,56.072,20.764,0.016,0.361,0.031,78.42950,-65.50717
B,2890,595.492,50.106,21.750,0.048,0.386,0.061,78.42833,-65.50771
A,148,612.639,62.170,22.047,0.044,0.504,0.076,78.43218,-65.50662
A,6157,613.678,54.979,21.994,0.058,0.313,0.096,78.43238,-65.50728
A,6158,609.145,58.533,20.975,0.022,0.220,0.030,78.43139,-65.50695
A,6176,605.293,72.104,21.359,0.044,0.358,0.060,78.43058,-65.50569
B,118,607.844,60.795,20.742,0.015,0.228,0.023,78.43111,-65.50674
B,2941,604.442,67.153,21.607,0.038,0.555,0.054,78.43037,-65.50615
A,3468,596.054,54.929,21.866,0.038,0.474,0.064,78.42847,-65.50727
A,3499,594.446,64.674,21.325,0.032,0.407,0.045,78.42814,-65.50637
A,7161,588.304,65.261,22.785,0.075,0.343,0.127,78.42678,-65.50630
B,125,588.271,63.947,19.077,0.008,0.934,0.014,78.42677,-65.50643
A,3548,585.901,88.347,20.443,0.015,0.047,0.019,78.42632,-65.50417
A,6178,590.249,78.692,21.182,0.110,0.316,0.202,78.42725,-65.50507
A,7167,593.706,74.370,20.785,0.025,0.175,0.039,78.42801,-65.50547
A,9320,592.034,77.848,19.022,0.009,0.860,0.042,78.42765,-65.50515
B,2966,580.769,81.111,22.219,0.053,0.797,0.086,78.42515,-65.50483
B,7394,597.505,76.888,21.861,0.083,0.860,0.125,78.42886,-65.50524
B,7395,595.529,79.399,20.933,0.053,1.133,0.077,78.42843,-65.50501
B,7396,593.638,81.601,21.512,0.093,1.385,0.127,78.42802,-65.50480
A,187,612.816,71.040,20.525,0.018,0.267,0.025,78.43224,-65.50580
A,207,618.952,79.148,21.447,0.030,0.509,0.048,78.43363,-65.50506
A,6174,619.967,71.078,20.691,0.035,0.213,0.043,78.43383,-65.50581
A,7177,614.226,85.101,20.706,0.175,0.764,0.299,78.43260,-65.50451
A,9624,614.889,86.393,19.045,0.050,-0.049,0.060,78.43275,-65.50439
A,11855,610.914,89.815,22.087,0.057,0.444,0.102,78.43188,-65.50407
B,180,608.904,89.002,17.950,0.009,0.013,0.013,78.43143,-65.50414
B,5316,620.660,77.249,20.949,0.019,0.475,0.030,78.43401,-65.50524
A,242,613.712,94.399,19.433,0.009,-0.025,0.014,78.43252,-65.50365
A,6205,605.775,94.042,21.640,0.043,0.546,0.076,78.43075,-65.50367
A,6206,609.348,97.746,22.038,0.071,0.395,0.107,78.43156,-65.50334
A,6219,606.344,105.964,22.159,0.049,0.412,0.075,78.43092,-65.50257
A,11847,618.799,85.492,22.080,0.059,0.460,0.093,78.43362,-65.50448
B,221,606.563,104.262,22.157,0.042,0.546,0.062,78.43096,-65.50273
B,2986,620.078,92.529,22.870,0.084,0.183,0.113,78.43393,-65.50383
A,7180,599.534,86.350,20.986,0.099,0.171,0.125,78.42934,-65.50437
A,11853,600.663,87.983,20.970,0.098,0.259,0.122,78.42960,-65.50422
B,150,596.713,86.458,19.130,0.011,1.070,0.017,78.42871,-65.50436
A,276,602.445,108.045,21.810,0.044,0.368,0.060,78.43006,-65.50238
A,3572,595.905,101.740,19.806,0.023,0.058,0.032,78.42858,-65.50295
A,3588,588.155,107.382,20.707,0.019,0.730,0.035,78.42688,-65.50242
A,6238,590.010,121.902,19.835,0.013,0.895,0.020,78.42734,-65.50108
B,233,591.270,111.926,19.289,0.011,0.150,0.014,78.42759,-65.50200
B,5339,596.670,111.104,20.527,0.026,0.272,0.033,78.42878,-65.50209
A,201,556.908,77.433,22.766,0.075,0.740,0.123,78.41984,-65.50514
A,203,554.913,86.593,18.109,0.006,0.946,0.013,78.41942,-65.50429
A,212,571.922,80.848,19.132,0.008,0.877,0.017,78.42319,-65.50485
A,221,564.474,82.821,20.307,0.017,0.134,0.026,78.42154,-65.50465
A,3541,564.348,87.746,19.652,0.011,0.004,0.016,78.42152,-65.50420
A,6194,558.310,87.636,21.659,0.080,0.860,0.115,78.42018,-65.50420
B,139,574.528,73.223,22.634,0.074,0.711,0.133,78.42374,-65.50555
B,148,560.675,76.133,21.271,0.025,0.278,0.035,78.42067,-65.50527
B,151,568.116,78.029,22.107,0.049,0.457,0.072,78.42233,-65.50510
B,2951,555.159,77.773,21.118,0.028,0.556,0.041,78.41945,-65.50511
B,2974,558.315,87.098,22.709,0.077,0.550,0.116,78.42018,-65.50425
A,253,569.066,100.034,19.881,0.013,0.119,0.018,78.42261,-65.50307
A,3542,568.628,93.373,20.555,0.020,0.187,0.027,78.42249,-65.50369
A,8701,571.355,87.129,21.097,0.027,0.468,0.043,78.42308,-65.50427
A,8702,569.422,89.322,21.371,0.042,0.535,0.072,78.42266,-65.50406
A,10295,575.040,92.018,21.978,0.038,0.357,0.081,78.42391,-65.50382
A,11859,572.574,91.083,21.895,0.040,0.609,0.069,78.42336,-65.50390
B,170,576.636,85.672,22.949,0.094,0.587,0.126,78.42425,-65.50441
B,194,569.993,97.085,20.745,0.029,1.020,0.036,78.42281,-65.50335
B,6163,566.243,94.012,21.785,0.102,1.535,0.154,78.42197,-65.50362
A,6191,538.863,98.168,20.615,0.017,0.031,0.025,78.41589,-65.50321
A,6209,554.315,94.853,22.351,0.153,1.850,0.223,78.41932,-65.50353
A,7172,551.859,81.720,21.661,0.056,0.568,0.086,78.41873,-65.50474
A,11385,540.184,93.619,22.577,0.161,0.856,0.206,78.41617,-65.50363
B,2994,542.847,98.272,21.099,0.022,0.256,0.030,78.41678,-65.50320
A,263,545.816,102.451,23.398,0.161,0.388,0.226,78.41745,-65.50282
A,275,557.516,110.306,21.630,0.039,0.524,0.057,78.42008,-65.50211
A,297,538.834,114.864,22.251,0.055,0.379,0.087,78.41594,-65.50167
A,6218,555.292,105.959,18.857,0.007,1.010,0.018,78.41957,-65.50251
B,238,543.472,111.502,22.073,0.050,0.641,0.071,78.41696,-65.50198
B,3007,556.350,103.393,22.849,0.067,0.829,0.153,78.41980,-65.50275
A,306,566.437,118.943,19.884,0.014,0.012,0.021,78.42209,-65.50133
A,11891,561.545,125.484,21.663,0.067,0.536,0.091,78.42102,-65.50072
B,3034,570.794,115.077,22.510,0.063,0.553,0.109,78.42304,-65.50169
A,334,571.642,127.280,20.581,0.018,0.285,0.025,78.42327,-65.50056
A,3601,581.880,112.464,19.569,0.011,-0.065,0.016,78.42550,-65.50194
A,3653,570.435,136.721,22.358,0.063,0.199,0.096,78.42303,-65.49969
A,3654,566.894,139.302,18.916,0.008,0.818,0.016,78.42226,-65.49945
A,6247,576.853,130.523,22.389,0.088,0.334,0.118,78.42444,-65.50027
B,269,581.137,122.731,22.744,0.074,0.573,0.116,78.42537,-65.50100
B,273,565.214,124.830,22.571,0.057,0.710,0.103,78.42184,-65.50078
A,3613,552.162,118.410,20.703,0.021,0.339,0.031,78.41891,-65.50136
A,3638,551.248,128.935,19.506,0.012,-0.004,0.016,78.41875,-65.50039
A,6232,557.019,113.957,19.659,0.013,0.074,0.020,78.41998,-65.50177
A,6246,543.019,127.434,21.282,0.055,0.385,0.094,78.41691,-65.50051
A,10298,558.390,123.587,19.855,0.029,0.456,0.033,78.42032,-65.50089
A,11283,558.352,120.389,20.922,0.078,-0.234,0.111,78.42030,-65.50118
B,255,559.204,116.259,22.208,0.048,0.475,0.067,78.42047,-65.50156
B,265,544.316,122.403,22.695,0.456,-0.198,0.511,78.41718,-65.50098
B,266,546.064,124.161,17.992,0.013,1.133,0.018,78.41758,-65.50082
B,3071,547.202,133.845,22.175,0.042,0.361,0.068,78.41786,-65.49993
B,3072,546.136,138.061,19.974,0.016,0.388,0.021,78.41764,-65.49954
A,369,549.471,138.407,22.284,0.057,0.576,0.103,78.41838,-65.49951
A,3681,543.179,143.127,18.481,0.008,-0.016,0.012,78.41700,-65.49907
B,292,558.918,129.548,22.883,0.094,0.710,0.154,78.42045,-65.50034
B,318,559.967,135.963,20.995,0.021,0.527,0.033,78.42071,-65.49975
B,347,556.758,146.104,22.837,0.100,0.486,0.133,78.42003,-65.49881
B,352,545.228,146.785,22.576,0.094,0.502,0.109,78.41746,-65.49873
A,3462,695.832,51.238,22.136,0.057,0.536,0.094,78.45064,-65.50773
B,2886,712.019,48.992,21.935,0.059,0.564,0.086,78.45423,-65.50796
B,5293,694.937,46.910,19.054,0.010,0.908,0.025,78.45042,-65.50813
B,5294,695.360,49.235,21.208,0.085,0.352,0.099,78.45053,-65.50792
A,175,699.229,65.461,22.853,0.069,0.423,0.115,78.45144,-65.50643
A,173,679.974,65.217,21.980,0.043,0.406,0.062,78.44716,-65.50642
A,3497,691.114,63.826,20.138,0.013,0.142,0.019,78.44963,-65.50657
B,117,684.811,60.698,18.598,0.008,0.061,0.010,78.44822,-65.50685
B,2935,690.828,65.882,22.203,0.049,0.522,0.090,78.44957,-65.50638
B,2937,671.026,66.760,21.052,0.028,0.374,0.037,78.44517,-65.50627
A,200,679.113,81.005,16.541,0.008,1.170,0.013,78.44701,-65.50497
A,7176,682.493,83.927,21.237,0.234,2.120,0.392,78.44777,-65.50470
A,8698,674.482,84.502,19.927,0.031,0.829,0.039,78.44600,-65.50464
B,2954,675.159,78.562,21.259,0.029,0.327,0.046,78.44613,-65.50519
B,5317,683.302,77.562,22.954,0.093,0.796,0.153,78.44793,-65.50529
B,6157,693.266,80.239,22.158,0.052,0.640,0.074,78.45016,-65.50506
B,6162,677.086,92.698,17.241,0.006,1.044,0.012,78.44660,-65.50389
A,3504,714.574,70.008,22.042,0.048,0.549,0.081,78.45486,-65.50603
A,3505,711.229,73.037,22.275,0.051,0.262,0.081,78.45413,-65.50574
A,3539,701.981,85.230,20.817,0.021,0.138,0.029,78.45211,-65.50461
A,3546,709.848,88.104,22.630,0.067,0.483,0.127,78.45387,-65.50435
B,2971,704.675,84.197,20.345,0.017,0.114,0.053,78.45271,-65.50470
A,234,717.238,89.991,23.024,0.104,0.330,0.144,78.45552,-65.50419
A,3565,699.134,97.741,20.957,0.038,0.395,0.052,78.45152,-65.50345
B,189,715.091,91.677,22.510,0.074,0.824,0.137,78.45504,-65.50403
B,3000,702.213,102.345,20.080,0.014,0.357,0.020,78.45222,-65.50303
A,3553,684.078,90.535,16.027,0.008,0.722,0.011,78.44815,-65.50409
B,218,681.495,106.517,21.905,0.042,0.609,0.078,78.44762,-65.50262
B,6999,687.133,104.981,21.441,0.030,0.491,0.039,78.44887,-65.50277
A,266,695.332,102.777,22.353,0.055,1.300,0.112,78.45069,-65.50298
A,281,690.513,107.946,21.888,0.101,0.483,0.130,78.44963,-65.50250
B,219,684.351,109.513,18.737,0.007,1.089,0.013,78.44827,-65.50234
B,6166,692.788,105.537,20.709,0.038,0.074,0.043,78.45013,-65.50272
B,7240,691.375,103.879,20.675,0.039,0.344,0.057,78.44981,-65.50287
B,7672,683.569,112.974,22.518,0.086,0.842,0.136,78.44810,-65.50202
A,199,657.251,75.807,22.653,0.092,0.506,0.137,78.44214,-65.50542
A,7171,660.948,79.135,20.925,0.025,0.102,0.033,78.44297,-65.50512
A,3557,659.714,93.342,18.657,0.013,-0.041,0.016,78.44274,-65.50381
A,3576,663.794,103.194,21.168,0.028,0.350,0.042,78.44368,-65.50290
A,6196,663.157,87.957,20.753,0.030,0.249,0.042,78.44349,-65.50431
A,6198,670.723,89.226,20.614,0.034,-0.108,0.038,78.44517,-65.50420
A,6208,666.589,94.722,20.745,0.024,0.353,0.038,78.44427,-65.50369
B,223,653.484,105.554,22.855,0.095,0.773,0.173,78.44139,-65.50267
B,2991,663.270,97.579,21.538,0.035,0.504,0.047,78.44354,-65.50342
B,6164,659.049,97.123,22.203,0.048,0.317,0.077,78.44260,-65.50346
A,245,641.475,95.973,20.588,0.017,0.168,0.028,78.43869,-65.50354
A,254,634.253,100.305,22.279,0.064,0.502,0.096,78.43710,-65.50313
A,280,634.037,107.667,21.131,0.023,0.350,0.041,78.43708,-65.50245
B,2992,632.794,98.214,23.040,0.106,0.917,0.202,78.43677,-65.50332
B,2993,630.708,102.875,20.252,0.017,0.386,0.026,78.43632,-65.50289
B,6159,646.071,85.497,20.751,0.022,0.237,0.034,78.43968,-65.50451
A,3573,644.891,102.398,23.251,0.118,0.804,0.218,78.43947,-65.50295
A,6242,632.272,123.651,21.026,0.027,0.173,0.039,78.43674,-65.50098
B,3033,636.555,114.871,22.471,0.073,0.379,0.111,78.43766,-65.50179
B,3041,634.201,120.458,23.095,0.111,0.639,0.157,78.43715,-65.50127
A,6216,674.157,104.980,21.151,0.025,0.129,0.038,78.44599,-65.50275
B,230,662.033,108.432,21.865,0.045,0.430,0.062,78.44330,-65.50242
B,3040,659.128,119.318,20.770,0.023,0.354,0.029,78.44269,-65.50141
A,308,673.018,119.089,21.701,0.037,0.314,0.055,78.44578,-65.50145
A,309,676.267,122.447,22.067,0.051,0.414,0.094,78.44651,-65.50114
A,3644,661.716,131.076,20.931,0.026,0.336,0.038,78.44330,-65.50033
A,8712,666.468,131.054,17.822,0.006,-0.028,0.009,78.44436,-65.50034
A,10072,664.621,124.649,21.625,0.048,0.465,0.066,78.44393,-65.50092
B,300,673.258,130.921,22.355,0.057,0.679,0.104,78.44587,-65.50036
B,5354,659.832,138.547,21.494,0.032,0.411,0.043,78.44291,-65.49964
A,350,633.945,132.788,21.412,0.031,0.213,0.046,78.43714,-65.50014
A,375,638.856,141.035,22.538,0.080,0.220,0.101,78.43825,-65.49938
A,3628,644.764,125.655,21.911,0.075,0.344,0.113,78.43952,-65.50081
A,3641,649.659,130.675,20.532,0.018,-0.038,0.026,78.44062,-65.50035
A,3642,645.501,134.029,18.084,0.008,-0.033,0.012,78.43971,-65.50004
A,3643,641.069,135.036,21.672,0.049,0.442,0.069,78.43873,-65.49994
A,6236,649.353,118.458,21.081,0.025,0.419,0.038,78.44052,-65.50148
B,256,649.039,117.169,22.173,0.053,0.649,0.077,78.44044,-65.50159
B,262,637.642,124.130,22.189,0.050,0.511,0.074,78.43793,-65.50094
B,289,646.997,128.791,22.194,0.040,0.598,0.070,78.44003,-65.50052
A,400,652.056,149.001,18.844,0.010,-0.033,0.015,78.44121,-65.49866
A,3675,656.274,141.088,20.757,0.019,0.151,0.031,78.44213,-65.49940
A,7209,652.163,142.397,21.387,0.023,0.376,0.043,78.44122,-65.49927
B,309,654.808,137.534,20.986,0.020,0.395,0.026,78.44179,-65.49972
B,328,648.954,140.480,19.430,0.011,0.928,0.017,78.44050,-65.49944
B,329,649.909,146.323,22.421,0.064,0.362,0.099,78.44073,-65.49891
B,3122,639.693,156.710,22.857,0.089,0.519,0.127,78.43849,-65.49794
B,5353,657.451,133.266,21.293,0.024,0.398,0.036,78.44236,-65.50012
A,3598,714.213,111.040,21.654,0.032,0.285,0.047,78.45491,-65.50224
A,3607,705.326,114.982,20.478,0.021,0.047,0.032,78.45295,-65.50187
A,3608,709.181,117.819,21.866,0.054,0.277,0.082,78.45381,-65.50161
A,3609,712.040,118.750,20.646,0.030,0.289,0.040,78.45445,-65.50153
A,6226,721.878,108.898,22.403,0.069,0.329,0.106,78.45661,-65.50245
A,8709,715.677,119.521,20.203,0.027,0.112,0.038,78.45526,-65.50146
A,10071,712.698,121.554,21.241,0.068,0.381,0.085,78.45461,-65.50127
A,11877,708.773,113.270,22.402,0.062,0.415,0.093,78.45371,-65.50203
B,206,718.491,100.859,21.711,0.042,0.340,0.055,78.45583,-65.50319
B,207,719.606,104.165,20.829,0.016,0.268,0.031,78.45609,-65.50288
B,5338,710.076,114.500,19.030,0.009,0.898,0.013,78.45400,-65.50192
B,7127,710.653,110.811,22.221,0.081,0.685,0.116,78.45412,-65.50226
A,357,709.983,139.551,21.258,0.028,0.386,0.043,78.45406,-65.49961
A,6251,708.874,134.250,20.245,0.017,0.047,0.021,78.45379,-65.50009
B,312,711.660,134.173,21.400,0.027,0.470,0.042,78.45441,-65.50010
B,3070,719.051,133.762,19.254,0.009,0.231,0.014,78.45606,-65.50015
A,3633,684.338,127.149,23.028,0.116,0.607,0.173,78.44832,-65.50072
A,3635,699.610,128.420,20.681,0.021,0.291,0.030,78.45172,-65.50062
B,274,697.767,124.901,22.508,0.066,0.493,0.110,78.45130,-65.50094
A,370,696.519,138.577,22.643,0.068,0.187,0.094,78.45106,-65.49968
A,3711,691.771,153.101,20.297,0.020,0.029,0.026,78.45005,-65.49833
A,6254,691.311,138.496,21.507,0.068,0.383,0.089,78.44990,-65.49968
B,3086,701.466,144.710,22.277,0.084,0.525,0.113,78.45218,-65.49912
B,5372,692.935,153.445,22.340,0.046,0.488,0.090,78.45031,-65.49830
B,5373,689.347,156.316,20.161,0.015,0.155,0.021,78.44952,-65.49804
B,6181,696.905,142.351,20.445,0.020,0.226,0.027,78.45116,-65.49933
A,368,729.698,140.247,21.800,0.042,0.197,0.053,78.45844,-65.49957
A,405,713.175,155.434,18.773,0.008,0.815,0.015,78.45482,-65.49815
A,6255,726.670,138.758,20.941,0.021,0.139,0.029,78.45776,-65.49970
A,6261,714.858,150.344,22.147,0.054,0.374,0.091,78.45517,-65.49862
A,6262,709.602,150.939,22.836,0.100,0.533,0.155,78.45401,-65.49856
A,8716,723.547,143.439,21.833,0.045,0.404,0.065,78.45708,-65.49926
B,376,716.546,154.178,19.563,0.012,0.155,0.016,78.45556,-65.49827
B,3090,710.133,148.232,22.654,0.069,1.472,0.191,78.45412,-65.49881
B,5366,714.857,145.289,19.906,0.015,0.066,0.020,78.45516,-65.49908
A,457,715.093,164.654,20.160,0.019,0.083,0.027,78.45527,-65.49730
A,7216,717.801,158.904,22.105,0.043,0.716,0.073,78.45586,-65.49783
B,379,728.922,157.872,21.336,0.034,0.338,0.045,78.45832,-65.49794
B,3133,723.119,162.327,21.376,0.023,0.480,0.032,78.45705,-65.49752
B,6187,718.339,157.214,21.954,0.061,0.644,0.099,78.45597,-65.49799
A,467,695.870,167.477,17.959,0.005,1.010,0.014,78.45101,-65.49701
A,3729,701.707,158.017,21.219,0.028,0.190,0.043,78.45228,-65.49789
A,3750,688.916,171.917,19.037,0.009,0.005,0.013,78.44948,-65.49660
B,370,687.248,159.785,20.484,0.015,0.142,0.024,78.44907,-65.49771
B,3104,703.010,151.445,20.062,0.011,0.267,0.019,78.45255,-65.49850
A,484,707.885,171.331,21.241,0.026,0.250,0.037,78.45369,-65.49667
A,3772,709.009,176.253,20.470,0.015,0.047,0.022,78.45396,-65.49622
A,3773,706.259,179.384,21.818,0.057,0.397,0.071,78.45335,-65.49593
A,3784,700.044,177.472,21.924,0.066,0.762,0.099,78.45197,-65.49610
A,6309,692.456,189.535,22.500,0.051,0.428,0.087,78.45032,-65.49498
A,8722,699.524,170.416,21.322,0.062,0.820,0.083,78.45183,-65.49675
B,421,708.463,173.616,21.531,0.036,0.352,0.056,78.45383,-65.49646
B,3166,691.591,176.379,21.484,0.029,0.325,0.043,78.45009,-65.49619
A,418,664.570,155.147,20.069,0.038,0.215,0.056,78.44401,-65.49811
A,3676,671.251,141.759,22.770,0.094,0.625,0.196,78.44546,-65.49935
A,3683,678.096,143.522,22.722,0.065,0.414,0.127,78.44698,-65.49920
A,438,666.133,160.942,17.863,0.007,1.240,0.015,78.44438,-65.49758
A,3714,684.140,153.861,22.407,0.051,0.380,0.087,78.44836,-65.49826
A,3721,676.183,156.460,19.010,0.010,-0.045,0.016,78.44660,-65.49801
A,7212,673.695,156.554,21.333,0.055,0.573,0.111,78.44605,-65.49799
A,7219,680.746,163.224,21.851,0.054,0.564,0.079,78.44763,-65.49739
A,7223,675.372,166.321,23.179,0.147,0.936,0.219,78.44645,-65.49710
B,381,672.645,158.209,21.733,0.037,0.479,0.064,78.44582,-65.49784
B,3102,681.363,150.985,21.117,0.024,0.448,0.034,78.44773,-65.49852
A,397,658.810,147.945,22.577,0.083,0.553,0.104,78.44271,-65.49877
A,439,644.030,161.083,23.347,0.165,0.872,0.220,78.43947,-65.49754
A,6274,656.365,162.074,22.333,0.055,0.658,0.099,78.44221,-65.49746
B,3118,648.956,158.222,21.907,0.039,0.441,0.070,78.44055,-65.49781
B,5368,660.071,150.278,21.993,0.175,0.150,0.186,78.44300,-65.49856
B,5376,654.938,159.133,20.481,0.023,0.245,0.029,78.44189,-65.49773
B,6722,653.120,154.480,20.908,0.146,1.312,0.261,78.44147,-65.49816
B,6723,652.079,155.750,21.601,0.042,0.031,0.058,78.44124,-65.49804
A,485,654.259,171.330,22.351,0.055,0.492,0.080,78.44177,-65.49661
A,506,652.143,181.394,21.858,0.043,0.353,0.074,78.44133,-65.49568
A,6304,646.124,186.584,21.188,0.036,0.765,0.055,78.44001,-65.49519
B,424,645.463,174.312,21.884,0.043,0.555,0.059,78.43983,-65.49632
B,3142,661.742,167.948,21.523,0.037,0.332,0.048,78.44343,-65.49693
B,6191,662.835,165.275,21.511,0.037,0.649,0.054,78.44366,-65.49718
A,448,678.955,170.645,21.840,0.046,0.520,0.062,78.44726,-65.49670
A,3790,680.411,180.874,19.461,0.016,0.047,0.021,78.44761,-65.49576
A,7220,684.138,166.495,19.969,0.041,0.182,0.068,78.44840,-65.49709
A,7221,682.408,166.999,21.102,0.135,-0.175,0.140,78.44802,-65.49704
A,11927,685.517,174.052,22.230,0.070,0.444,0.137,78.44873,-65.49639
B,432,677.055,176.775,20.110,0.015,0.971,0.023,78.44686,-65.49613
B,461,675.848,184.518,23.269,0.140,0.820,0.239,78.44661,-65.49542
B,3141,683.552,164.871,22.179,0.037,0.477,0.055,78.44826,-65.49724
A,518,688.155,185.346,21.587,0.082,0.810,0.095,78.44935,-65.49536
A,532,681.664,188.570,20.799,0.020,0.263,0.031,78.44792,-65.49505
A,7252,680.347,196.799,22.311,0.071,0.544,0.130,78.44765,-65.49429
A,520,657.243,189.874,18.795,0.009,-0.013,0.014,78.44249,-65.49490
A,588,647.934,203.908,22.237,0.051,0.407,0.087,78.44047,-65.49359
A,3794,663.262,181.547,19.708,0.012,0.090,0.017,78.44381,-65.49568
A,7238,658.635,185.747,21.389,0.046,0.208,0.067,78.44279,-65.49528
A,11934,656.930,183.410,22.407,0.102,0.578,0.153,78.44240,-65.49550
B,481,650.581,194.048,21.700,0.025,0.502,0.045,78.44103,-65.49451
B,3188,661.452,188.452,21.514,0.026,0.783,0.044,78.44343,-65.49504
A,560,667.576,195.666,20.914,0.020,0.200,0.031,78.44481,-65.49438
A,573,660.156,199.467,18.530,0.008,-0.041,0.014,78.44317,-65.49402
A,3879,649.464,210.731,19.010,0.010,-0.020,0.014,78.44083,-65.49297
A,6320,657.403,199.395,22.170,0.113,0.791,0.181,78.44256,-65.49402
A,6331,661.182,205.023,21.910,0.053,0.411,0.074,78.44342,-65.49351
A,11959,658.054,204.276,22.770,0.103,0.724,0.200,78.44272,-65.49357
B,541,656.575,212.050,22.231,0.059,0.694,0.093,78.44242,-65.49285
B,3236,654.798,205.112,22.409,0.067,0.544,0.095,78.44200,-65.49349
B,6208,663.480,206.896,22.392,0.072,0.555,0.105,78.44393,-65.49334
A,277,621.308,107.022,21.983,0.045,0.201,0.065,78.43425,-65.50250
A,278,623.500,110.495,21.940,0.040,0.516,0.069,78.43474,-65.50218
B,241,627.399,111.743,22.092,0.056,0.594,0.087,78.43562,-65.50207
B,263,616.996,120.622,22.014,0.051,0.550,0.077,78.43333,-65.50124
A,326,626.715,124.183,19.653,0.009,-0.046,0.014,78.43550,-65.50092
A,355,612.811,133.342,21.323,0.026,0.289,0.044,78.43244,-65.50006
A,3634,615.621,127.308,23.332,0.143,0.514,0.228,78.43305,-65.50062
B,307,613.827,133.573,21.527,0.022,0.368,0.037,78.43267,-65.50004
B,3067,619.336,132.932,23.051,0.101,0.450,0.163,78.43389,-65.50010
A,318,590.669,125.859,21.171,0.030,0.171,0.040,78.42750,-65.50072
A,319,594.930,126.898,22.199,0.048,0.426,0.063,78.42845,-65.50063
A,3678,588.378,142.257,19.761,0.012,-0.013,0.018,78.42704,-65.49920
B,252,605.695,115.563,22.701,0.071,0.684,0.148,78.43080,-65.50169
A,3679,593.513,143.306,22.070,0.044,0.361,0.074,78.42818,-65.49911
B,314,607.681,135.590,22.900,0.093,0.322,0.126,78.43131,-65.49984
B,3101,600.862,150.917,21.278,0.029,0.532,0.041,78.42984,-65.49842
