6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g0041058-152541,1,0.250,0.062,0.368,0.124,0.060,0.050,0.425,0.100,4,10.2743333,-15.4280833
g0041065-370149,1,1.075,0.013,-0.041,0.046,0.150,0.034,0.100,0.025,4,10.2771250,-37.0301389
g0041221-095241,1,0.775,0.097,0.077,0.096,0.210,0.053,0.275,0.062,9,10.3421250,-9.8779444
g0041334-142148,1,0.375,0.057,-0.979,0.117,0.800,0.065,-0.225,0.070,5,10.3890833,-14.3632778
g0041398-421916,2,0.450,0.052,0.174,0.070,0.240,0.030,0.400,0.048,4,10.4159583,-42.3209722
g0041482-091703,1,0.975,0.063,0.127,0.061,0.210,0.035,0.325,0.038,4,10.4509583,-9.2841944
g0041485-014419,1,0.275,0.019,0.209,0.047,0.150,0.037,0.350,0.037,5,10.4519167,-1.7386944
g0041533-104958,1,0.275,0.044,0.067,0.109,0.300,0.052,0.350,0.081,6,10.4721250,-10.8327222
g0042046-420959,2,0.625,0.070,0.105,0.100,0.180,0.051,0.275,0.062,5,10.5189583,-42.1663056
g0042148-112817,1,1.075,0.022,-0.270,0.057,0.180,0.052,-0.100,0.029,5,10.5616667,-11.4714444
g0042166-503033,1,0.800,0.075,0.127,0.066,0.210,0.033,0.325,0.045,1,10.5690000,-50.5092778
g0042223-133625,1,-0.050,0.083,0.585,0.157,-0.090,0.049,0.500,0.150,9,10.5928333,-13.6070000
g0042362-015943,1,0.775,0.070,-0.013,0.071,0.120,0.038,0.100,0.046,4,10.6510000,-1.9952222
g0042364-115432,1,0.650,0.096,0.152,0.108,0.210,0.048,0.350,0.076,2,10.6515833,-11.9089444
g0042368-013144,1,0.725,0.061,0.149,0.044,0.240,0.021,0.375,0.035,3,10.6534583,-1.5287778
g0042442-085612,1,1.175,0.008,-0.232,0.059,0.060,0.051,-0.175,0.026,6,10.6842083,-8.9366111
g0042597-463020,1,0.650,0.124,0.307,0.134,-0.060,0.067,0.250,0.096,6,10.7485417,-46.5055000
g0043081-462154,1,0.350,0.095,0.073,0.151,0.400,0.042,0.450,0.128,9,10.7838750,-46.3651111
g0043083-110739,1,0.900,0.073,-0.283,0.078,0.380,0.044,0.075,0.047,4,10.7847500,-11.1276111
g0043241-111522,1,0.300,0.061,0.005,0.116,0.180,0.069,0.175,0.068,8,10.8504167,-11.2560278
g0043334-040704,1,0.800,0.080,-0.602,0.096,0.480,0.063,-0.150,0.043,3,10.8890000,-4.1178333
g0043554-452920,1,1.000,0.060,-0.606,0.095,0.590,0.067,-0.050,0.043,5,10.9807500,-45.4887778
g0043596-111821,1,0.725,0.097,-0.020,0.099,0.340,0.046,0.300,0.067,5,10.9981667,-11.3057222
g0043597-763527,1,0.300,0.043,0.099,0.077,0.240,0.033,0.325,0.056,4,10.9987500,-76.5908611
g0044230-025040,1,0.675,0.117,-0.085,0.132,0.090,0.078,0.000,0.075,7,11.0959583,-2.8445556
g0044238-684735,1,0.650,0.104,-0.066,0.136,0.150,0.082,0.075,0.079,4,11.0992083,-68.7931667
g0044281-475036,1,0.900,0.100,0.171,0.076,0.270,0.034,0.425,0.052,3,11.1171250,-47.8432778
g0044313-030101,1,0.325,0.046,0.320,0.068,-0.180,0.037,0.150,0.051,7,11.1303750,-3.0170278
g0044377-484941,1,0.625,0.091,0.325,0.103,0.000,0.049,0.325,0.066,5,11.1568750,-48.8281389
g0045114-171611,1,0.775,0.085,0.080,0.074,0.180,0.038,0.250,0.051,3,11.2975000,-17.2695833
g0045240-123210,1,0.700,0.076,0.059,0.092,0.150,0.048,0.200,0.059,4,11.3501667,-12.5361389
g0046149-070700,1,0.625,0.101,0.315,0.105,0.090,0.047,0.400,0.071,5,11.5620417,-7.1166944
g0046345-484317,1,0.675,0.102,0.037,0.140,0.120,0.077,0.150,0.088,6,11.6435833,-48.7214167
g0046368-141855,1,0.625,0.090,0.146,0.084,0.270,0.036,0.400,0.065,6,11.6533333,-14.3153611
g0046403-520638,1,0.450,0.073,0.012,0.115,0.120,0.063,0.125,0.066,4,11.6678750,-52.1106111
g0046489-063152,1,0.750,0.067,0.142,0.052,0.300,0.029,0.425,0.033,5,11.7038333,-6.5310000
g0047069-024353,1,0.500,0.067,0.030,0.073,0.180,0.034,0.200,0.050,4,11.7785417,-2.7312500
g0047464-095006,1,0.450,0.054,-0.003,0.083,0.030,0.045,0.025,0.048,4,11.9434167,-9.8350278
g0047475-123729,1,0.825,0.099,0.015,0.104,0.090,0.056,0.100,0.070,8,11.9480833,-12.6246111
g0047518-481354,1,0.700,0.105,0.015,0.117,0.090,0.062,0.100,0.076,3,11.9657500,-48.2316944
g0048051-013357,1,0.850,0.065,-0.138,0.052,0.120,0.026,-0.025,0.034,2,12.0212083,-1.5658333
g0048179-645426,1,0.775,0.083,-0.076,0.087,0.240,0.042,0.150,0.055,1,12.0746667,-64.9073056
g0048600-070540,1,0.775,0.105,-0.007,0.096,0.060,0.046,0.050,0.068,4,12.2498333,-7.0943056
g0049328-041251,1,0.850,0.081,-0.528,0.095,0.560,0.054,0.000,0.050,6,12.3865417,-4.2140556
g0049357-025425,1,0.500,0.095,0.548,0.137,-0.210,0.057,0.350,0.102,8,12.3988750,-2.9068333
g0049365-472503,1,1.175,0.047,-0.571,0.084,0.500,0.060,-0.100,0.044,5,12.4020417,-47.4173611
g0049472-613913,1,0.800,0.075,-0.227,0.085,0.400,0.044,0.150,0.051,2,12.4467917,-61.6536111
g0049599-035956,1,0.650,0.095,-0.869,0.137,0.710,0.088,-0.200,0.064,5,12.4995000,-3.9988056
g0050004-053918,1,0.925,0.098,-0.558,0.114,0.460,0.072,-0.125,0.057,7,12.5016667,-5.6549167
g0050009-144057,1,0.625,0.054,0.372,0.052,0.030,0.027,0.400,0.037,3,12.5037917,-14.6823889
g0050083-042259,1,0.775,0.146,0.048,0.110,0.480,0.041,0.500,0.093,9,12.5345000,-4.3831667
g0050087-040710,1,0.325,0.096,0.055,0.173,0.340,0.066,0.375,0.132,8,12.5361667,-4.1193889
g0050275-055131,1,1.000,0.030,-0.008,0.031,0.380,0.022,0.350,0.019,5,12.6146667,-5.8585000
g0050325-083906,1,0.975,0.051,-0.147,0.066,-0.030,0.051,-0.175,0.035,6,12.6355000,-8.6516389
g0050419-015437,1,1.175,0.000,-0.113,0.028,0.120,0.022,0.000,0.022,5,12.6744167,-1.9102500
g0050419-521312,1,1.125,0.026,-0.351,0.057,0.240,0.069,-0.125,0.068,7,12.6744167,-52.2199444
g0050485-065309,1,1.000,0.042,-0.038,0.045,0.120,0.028,0.075,0.030,2,12.7018750,-6.8856944
g0050527-552925,1,0.900,0.095,-0.163,0.092,0.120,0.055,-0.050,0.053,5,12.7196667,-55.4901944
g0050577-233329,1,0.125,0.052,0.391,0.106,-0.150,0.045,0.250,0.084,9,12.7404583,-23.5579444
g0051019-070325,1,0.850,0.052,-0.003,0.041,0.030,0.026,0.025,0.026,2,12.7577500,-7.0569444
g0051044-000804,1,0.575,0.096,0.043,0.116,0.060,0.063,0.100,0.075,5,12.7681250,-0.1345278
g0051092-460634,1,0.500,0.105,0.109,0.117,0.150,0.046,0.250,0.093,7,12.7885000,-46.1093889
g0051093-463757,1,0.425,0.064,-0.163,0.115,0.120,0.067,-0.050,0.062,3,12.7889167,-46.6324167
g0051173-083549,1,1.150,0.000,-0.201,0.031,0.320,0.028,0.100,0.015,2,12.8218750,-8.5968611
g0051314-430930,1,0.725,0.094,-0.070,0.111,0.340,0.053,0.250,0.072,4,12.8807917,-43.1582500
g0051538-030251,1,1.175,0.005,-0.066,0.050,0.150,0.044,0.075,0.027,8,12.9741667,-3.0475000
g0052099-071145,1,1.175,0.015,-0.166,0.061,0.150,0.048,-0.025,0.037,3,13.0414167,-7.1957778
g0052102-440617,1,0.200,0.050,0.275,0.142,0.000,0.057,0.275,0.114,4,13.0426667,-44.1047500
g0052217-032041,1,0.425,0.098,-0.362,0.139,0.650,0.076,0.250,0.088,9,13.0904583,-3.3446111
g0052236-015012,1,0.600,0.102,-0.420,0.143,0.340,0.094,-0.100,0.077,6,13.0983333,-1.8365278
g0052282-015845,1,1.175,0.016,-0.198,0.053,0.210,0.037,0.000,0.031,4,13.1175000,-1.9790556
g0052507-031349,1,0.925,0.095,0.168,0.095,0.060,0.058,0.225,0.058,6,13.2112917,-3.2303611
g0053145-033722,1,0.550,0.091,0.074,0.126,0.240,0.052,0.300,0.092,4,13.3103750,-3.6227222
g0053190-035633,1,0.650,0.075,0.103,0.079,-0.030,0.054,0.075,0.052,4,13.3290833,-3.9423889
g0053201-011753,1,0.625,0.070,-0.284,0.079,0.620,0.050,0.300,0.040,9,13.3338333,-1.2979167
g0053215-025122,1,1.000,0.058,0.090,0.063,0.090,0.033,0.175,0.044,4,13.3397500,-2.8560833
g0053294-004038,1,0.975,0.075,-0.335,0.106,0.090,0.078,-0.250,0.057,6,13.3725000,-0.6772222
g0053304-130646,1,0.825,0.092,-0.433,0.108,0.300,0.073,-0.150,0.049,2,13.3764583,-13.1127500
g0053364-291429,1,0.550,0.126,0.304,0.113,-0.270,0.048,0.050,0.094,7,13.4017500,-29.2412500
g0053414-015549,1,0.675,0.101,0.137,0.089,0.120,0.039,0.250,0.071,3,13.4222917,-1.9301667
g0053502-030822,1,0.975,0.058,-0.208,0.066,0.380,0.041,0.150,0.038,4,13.4589583,-3.1393333
g0054021-031726,1,0.475,0.080,-0.095,0.113,0.180,0.061,0.075,0.069,4,13.5087500,-3.2905556
g0054036-473156,1,1.075,0.024,-0.076,0.036,0.320,0.027,0.225,0.021,5,13.5150833,-47.5322500
g0054056-463660,1,0.825,0.067,0.259,0.058,0.150,0.031,0.400,0.034,6,13.5234583,-46.6166389
g0054060-060249,1,0.575,0.078,0.187,0.089,0.120,0.043,0.300,0.062,7,13.5249583,-6.0470278
g0054122-192751,1,0.700,0.082,-0.016,0.093,0.150,0.044,0.125,0.058,3,13.5510000,-19.4641667
g0054158-142812,1,0.450,0.069,0.282,0.094,-0.060,0.048,0.225,0.066,7,13.5656667,-14.4699444
g0054159-011422,1,0.700,0.077,0.084,0.077,0.150,0.040,0.225,0.051,2,13.5662917,-1.2393611
g0054184-615334,1,0.500,0.051,0.102,0.069,0.210,0.039,0.300,0.041,2,13.5767500,-61.8928611
g0054194-071613,1,0.250,0.059,-0.121,0.160,0.420,0.084,0.275,0.111,9,13.5809167,-7.2702778
g0054289-655122,1,0.825,0.102,0.149,0.091,0.240,0.045,0.375,0.058,5,13.6203333,-65.8560556
g0054304-155003,1,0.400,0.075,0.422,0.098,0.030,0.042,0.450,0.084,5,13.6264583,-15.8340833
g0054367-355106,1,0.175,0.030,0.249,0.103,0.240,0.031,0.475,0.103,3,13.6530417,-35.8517500
g0055140-111534,1,0.325,0.065,0.142,0.120,0.380,0.038,0.500,0.106,3,13.8083333,-11.2593056
g0055169-005504,1,0.475,0.087,0.313,0.096,-0.120,0.048,0.200,0.065,6,13.8202917,-0.9178889
g0055257-105702,1,0.575,0.098,0.147,0.124,0.030,0.062,0.175,0.089,8,13.8572083,-10.9506667
g0055290-091734,1,1.100,0.014,-0.176,0.058,0.240,0.054,0.050,0.038,8,13.8708333,-9.2928056
g0055314-101224,1,0.550,0.109,0.408,0.097,-0.300,0.037,0.125,0.090,7,13.8808750,-10.2067222
g0055357-601808,1,0.725,0.074,-0.070,0.090,0.180,0.051,0.100,0.052,4,13.8987500,-60.3021111
g0055368-634411,1,0.250,0.066,0.325,0.152,0.000,0.068,0.325,0.104,8,13.9031667,-63.7363056
g0055382-013447,1,0.625,0.116,0.205,0.111,0.180,0.051,0.375,0.078,6,13.9091667,-1.5796111
g0055427-101733,1,0.775,0.108,0.002,0.108,0.210,0.050,0.200,0.074,9,13.9279167,-10.2925000
g0055545-605135,1,0.550,0.075,-0.335,0.113,0.090,0.078,-0.250,0.051,3,13.9772083,-60.8596944
g0055545-742236,1,1.175,0.012,0.207,0.052,-0.060,0.044,0.150,0.026,4,13.9772500,-74.3766389
g0055588-754209,1,0.825,0.079,-0.076,0.077,0.240,0.045,0.150,0.052,7,13.9950833,-75.7024444
g0056065-135152,1,0.475,0.102,0.193,0.127,0.060,0.072,0.250,0.089,8,14.0271250,-13.8644167
g0056089-101038,1,1.075,0.025,-0.415,0.072,0.090,0.068,-0.330,0.029,8,14.0371667,-10.1772222
g0056128-135625,1,0.800,0.102,-0.032,0.106,0.060,0.061,0.025,0.064,9,14.0531250,-13.9403889
g0056144-095403,1,1.175,0.051,0.060,0.093,-0.090,0.063,-0.025,0.055,8,14.0597917,-9.9007778
g0056150-470352,1,0.925,0.044,0.052,0.042,0.210,0.022,0.250,0.032,4,14.0625000,-47.0643611
g0056159-524658,1,0.725,0.068,0.127,0.066,0.210,0.030,0.325,0.046,2,14.0663750,-52.7826944
g0056165-100032,1,0.600,0.086,0.034,0.117,0.150,0.064,0.175,0.078,4,14.0687917,-10.0089167
g0056235-005913,1,0.975,0.062,-0.073,0.073,0.210,0.047,0.125,0.047,4,14.0980833,-0.9869167
g0056326-014619,1,1.175,0.010,-0.533,0.046,0.380,0.039,-0.175,0.018,7,14.1357500,-1.7719444
g0056326-484059,1,0.650,0.071,-0.308,0.082,0.300,0.046,-0.025,0.044,8,14.1360000,-48.6831389
g0056389-024841,1,0.675,0.105,-0.083,0.117,0.460,0.055,0.350,0.080,3,14.1620833,-2.8113889
g0056408-523111,1,0.750,0.096,0.175,0.095,0.000,0.043,0.175,0.069,6,14.1701667,-52.5196111
g0056472-530551,1,0.900,0.064,0.071,0.052,0.270,0.025,0.325,0.036,1,14.1967083,-53.0973611
g0056527-101335,1,0.950,0.105,-0.033,0.098,0.380,0.054,0.325,0.062,6,14.2196667,-10.2265000
g0057071-022836,1,0.450,0.128,0.362,0.132,0.120,0.047,0.475,0.117,8,14.2794167,-2.4765833
g0057097-012249,1,1.175,0.023,-0.539,0.066,0.440,0.056,-0.125,0.032,2,14.2903750,-1.3802500
g0057100-434338,2,0.600,0.044,0.165,0.066,0.090,0.038,0.250,0.040,1,14.2917083,-43.7270833
g0057206-685115,1,0.700,0.061,-0.010,0.069,0.090,0.042,0.075,0.043,1,14.3360000,-68.8540556
g0057376-485410,1,0.225,0.016,0.359,0.060,0.150,0.027,0.500,0.057,3,14.4066250,-48.9026944
g0057464-091308,1,0.850,0.058,-0.129,0.051,0.270,0.030,0.125,0.030,2,14.4433750,-9.2189444
g0057465-003456,1,0.750,0.103,-0.091,0.110,0.150,0.053,0.050,0.073,4,14.4436667,-0.5823056
g0058001-832259,1,1.175,0.012,0.099,0.048,0.240,0.039,0.325,0.019,7,14.5004583,-83.3829722
g0058016-050416,1,0.600,0.067,-0.275,0.096,0.000,0.061,-0.275,0.049,4,14.5066667,-5.0712222
g0058032-463702,1,1.175,0.000,-0.154,0.028,0.270,0.021,0.100,0.017,1,14.5132500,-46.6172500
g0058050-164236,1,1.000,0.061,-0.085,0.082,0.090,0.058,0.000,0.041,7,14.5206667,-16.7098889
g0058109-081301,1,1.050,0.016,-0.213,0.032,0.120,0.029,-0.100,0.015,5,14.5455417,-8.2170000
g0058180-010856,1,0.800,0.136,0.209,0.127,0.150,0.062,0.350,0.087,8,14.5748750,-1.1488611
g0058198-152331,1,0.500,0.060,0.300,0.079,0.000,0.034,0.300,0.058,5,14.5824167,-15.3918889
g0058206-015613,1,0.575,0.077,0.112,0.098,0.120,0.049,0.225,0.070,4,14.5857083,-1.9368333
g0058218-060006,1,0.700,0.075,0.203,0.088,-0.030,0.048,0.175,0.057,3,14.5907917,-6.0016667
g0058247-014939,1,1.175,0.012,-0.483,0.061,0.380,0.048,-0.125,0.030,3,14.6028333,-1.8274722
g0058397-094024,1,0.800,0.132,-0.220,0.149,0.180,0.080,-0.050,0.083,6,14.6655417,-9.6732222
g0058407-162127,1,0.150,0.063,0.604,0.138,-0.270,0.046,0.350,0.127,9,14.6695417,-16.3575556
g0058438-764748,1,0.975,0.069,0.365,0.066,0.090,0.047,0.450,0.038,6,14.6823333,-76.7966111
g0058454-154339,1,0.825,0.093,0.190,0.094,0.090,0.046,0.275,0.061,4,14.6891667,-15.7275278
g0058468-004507,1,1.075,0.037,-0.133,0.058,0.300,0.036,0.150,0.037,4,14.6949167,-0.7518333
g0058532-084631,1,0.475,0.059,0.168,0.074,0.060,0.039,0.225,0.047,4,14.7214583,-8.7751944
g0058561-165208,1,0.925,0.075,-0.164,0.061,0.440,0.036,0.250,0.038,6,14.7337917,-16.8687500
g0059200-441940,2,0.700,0.100,-0.045,0.109,0.180,0.061,0.125,0.071,4,14.8334583,-44.3277222
g0059201-632934,1,0.675,0.089,-0.051,0.103,0.320,0.047,0.250,0.068,2,14.8337083,-63.4928333
g0059237-044812,1,0.475,0.076,0.080,0.094,0.180,0.052,0.250,0.060,4,14.8486667,-4.8031944
g0059262-044740,1,0.550,0.070,-0.128,0.073,0.030,0.046,-0.100,0.043,3,14.8590000,-4.7945000
g0059373-101957,1,0.850,0.073,-0.032,0.069,0.060,0.045,0.025,0.040,2,14.9055417,-10.3325000
g0059377-135316,1,1.175,0.008,-0.223,0.064,0.210,0.049,-0.025,0.036,4,14.9071250,-13.8876667
g0059466-402001,1,0.275,0.028,-0.245,0.085,0.340,0.055,0.075,0.039,10,14.9442500,-40.3335556
g0059538-141441,1,0.650,0.076,0.127,0.084,0.210,0.038,0.325,0.059,6,14.9741667,-14.2445833
g0059591-135943,1,0.425,0.082,0.092,0.111,0.380,0.033,0.450,0.104,5,14.9962083,-13.9953056
g0100041-110458,1,1.175,0.007,-0.257,0.059,0.060,0.051,-0.200,0.022,5,15.0172083,-11.0826389
g0100159-151758,1,1.175,0.000,0.027,0.044,0.210,0.040,0.225,0.017,4,15.0661667,-15.2993056
g0100212-151452,1,0.725,0.102,-0.345,0.117,0.340,0.066,-0.025,0.064,5,15.0881667,-15.2476944
g0100249-140856,1,0.725,0.107,-0.203,0.123,0.030,0.075,-0.175,0.065,7,15.1035417,-14.1488056
g0100269-151121,1,0.775,0.088,-0.176,0.098,0.240,0.057,0.050,0.057,4,15.1122500,-15.1890833
g0100387-401412,1,0.950,0.070,-0.324,0.091,0.530,0.055,0.175,0.048,8,15.1613333,-40.2367222
g0100410-424503,1,0.650,0.150,-0.104,0.154,0.270,0.067,0.150,0.104,3,15.1709583,-42.7509444
g0100470-150717,1,1.175,0.004,-0.248,0.047,0.210,0.039,-0.050,0.023,5,15.1957500,-15.1214167
g0100499-064621,1,0.450,0.059,0.171,0.071,0.270,0.023,0.425,0.059,3,15.2077500,-6.7725000
g0101062-043619,1,1.175,0.026,0.032,0.062,-0.060,0.050,-0.025,0.039,5,15.2759583,-4.6052222
g0101096-151502,1,0.350,0.054,0.322,0.074,0.030,0.035,0.350,0.061,2,15.2900833,-15.2505556
g0101161-190312,1,0.275,0.044,0.302,0.117,0.210,0.044,0.500,0.111,6,15.3169583,-19.0533333
g0101426-153404,1,0.650,0.067,0.259,0.062,0.150,0.029,0.400,0.044,3,15.4274167,-15.5677778
g0101539-203344,1,0.950,0.064,-0.151,0.071,0.240,0.040,0.075,0.047,4,15.4743750,-20.5621389
g0101541-373031,1,0.600,0.064,0.184,0.077,0.150,0.036,0.325,0.052,4,15.4752917,-37.5085278
g0101566-144324,1,0.950,0.075,-0.010,0.086,0.090,0.057,0.075,0.051,6,15.4859583,-14.7233333
g0101571-205404,1,0.200,0.054,0.422,0.140,0.030,0.063,0.450,0.139,5,15.4880833,-20.9011111
g0102097-511912,1,0.700,0.123,0.034,0.133,0.150,0.062,0.175,0.097,3,15.5403333,-51.3201111
g0102320-132613,1,0.800,0.125,0.470,0.109,-0.180,0.048,0.300,0.081,6,15.6333333,-13.4368333
g0103158-013256,1,1.075,0.023,-0.229,0.054,0.270,0.042,0.025,0.032,8,15.8156667,-1.5490000
g0103203-050748,1,0.450,0.110,0.245,0.140,-0.180,0.073,0.075,0.095,5,15.8343750,-5.1299167
g0103226-002742,1,0.775,0.159,-0.078,0.133,0.560,0.050,0.450,0.106,9,15.8441250,-0.4617778
g0103392-135651,1,0.400,0.070,0.262,0.093,0.120,0.043,0.375,0.068,4,15.9135000,-13.9475278
g0103410-134549,1,0.675,0.078,-0.045,0.092,0.180,0.049,0.125,0.057,3,15.9207500,-13.7636389
g0103478-085747,1,0.400,0.049,-0.221,0.075,0.420,0.044,0.175,0.042,3,15.9491667,-8.9630833
g0103537-492214,1,0.950,0.039,-0.377,0.045,0.400,0.030,0.000,0.026,4,15.9739167,-49.3706111
g0103552-512136,1,1.175,0.011,-0.464,0.071,0.360,0.057,-0.125,0.032,4,15.9798333,-51.3598889
g0104026-113832,1,0.575,0.092,0.312,0.104,0.120,0.046,0.425,0.078,4,16.0106667,-11.6421389
g0104136-003012,1,1.075,0.014,-0.377,0.064,0.480,0.047,0.075,0.030,8,16.0564583,-0.5033333
g0104170-150618,1,0.375,0.077,0.513,0.108,-0.120,0.045,0.400,0.085,8,16.0707500,-15.1049444
g0104249-463007,1,0.800,0.053,-0.133,0.049,0.300,0.030,0.150,0.029,5,16.1036250,-46.5020556
g0104335-001912,1,0.700,0.153,0.174,0.133,0.240,0.052,0.400,0.099,8,16.1396667,-0.3200000
g0104388-041530,1,0.550,0.087,-0.539,0.126,0.440,0.072,-0.125,0.070,5,16.1617083,-4.2581944
g0104409-004810,1,0.675,0.053,-0.199,0.060,0.530,0.031,0.300,0.038,5,16.1702500,-0.8026944
g0104507-151318,1,0.675,0.088,-0.001,0.112,0.240,0.060,0.225,0.068,6,16.2112917,-15.2215278
g0104599-460433,1,0.900,0.044,0.074,0.042,0.240,0.022,0.300,0.026,3,16.2495000,-46.0758333
g0105114-201802,1,0.400,0.090,-0.046,0.122,0.420,0.056,0.350,0.103,9,16.2976667,-20.3004722
g0105163-385739,1,0.900,0.082,0.036,0.067,0.360,0.030,0.375,0.046,4,16.3180000,-38.9608889
g0105189-112130,1,0.650,0.084,-0.226,0.119,0.320,0.067,0.075,0.068,8,16.3289167,-11.3581944
g0105414-133250,1,0.625,0.118,-0.050,0.135,0.000,0.078,-0.050,0.075,5,16.4222917,-13.5473333
g0105484-482354,1,0.375,0.101,0.097,0.180,0.030,0.095,0.125,0.128,4,16.4517917,-48.3983889
g0106027-735952,1,1.175,0.004,-0.166,0.048,0.150,0.040,-0.025,0.026,4,16.5110833,-73.9978889
g0106082-135334,1,1.125,0.038,-0.223,0.075,0.210,0.052,-0.025,0.038,7,16.5342917,-13.8928611
g0106158-163234,1,0.675,0.083,0.121,0.073,0.270,0.034,0.375,0.050,5,16.5658333,-16.5428333
g0106299-132224,1,0.525,0.088,0.203,0.105,-0.030,0.045,0.175,0.078,6,16.6244583,-13.3734167
g0106324-110727,1,0.850,0.112,-0.414,0.135,0.360,0.081,-0.075,0.069,5,16.6347917,-11.1241667
g0106479-203746,1,0.450,0.060,0.015,0.078,0.090,0.041,0.100,0.049,4,16.6994167,-20.6294167
g0106531-514746,1,0.975,0.103,0.203,0.120,-0.030,0.065,0.175,0.077,3,16.7213333,-51.7960000
g0106591-152955,1,0.425,0.061,-0.088,0.093,0.120,0.046,0.025,0.061,3,16.7462083,-15.4987222
g0107050-192229,1,0.475,0.091,0.046,0.121,0.270,0.061,0.300,0.082,4,16.7706250,-19.3748333
g0107069-372848,1,0.475,0.073,0.062,0.107,0.120,0.049,0.175,0.069,5,16.7785417,-37.4800000
g0107073-470319,1,1.150,0.004,-0.358,0.040,0.300,0.034,-0.075,0.018,1,16.7804583,-47.0553611
g0107074-514513,1,0.550,0.091,0.125,0.111,0.000,0.053,0.125,0.074,4,16.7809583,-51.7536667
g0107111-415460,1,0.850,0.069,-0.001,0.061,0.240,0.034,0.225,0.039,2,16.7963333,-41.9166111
g0107180-364007,1,0.600,0.086,-0.354,0.099,0.270,0.059,-0.100,0.053,3,16.8251250,-36.6685833
g0107189-004651,1,1.175,0.015,-0.202,0.054,0.400,0.041,0.175,0.027,5,16.8287083,-0.7808889
g0107206-163624,1,0.950,0.059,-0.066,0.069,0.150,0.038,0.075,0.044,5,16.8359167,-16.6066667
g0107220-132013,1,1.075,0.022,-0.446,0.085,0.500,0.065,0.025,0.033,7,16.8415833,-13.3368333
g0107304-451050,1,0.725,0.093,0.118,0.096,0.060,0.047,0.175,0.066,2,16.8764583,-45.1806667
g0107329-131617,1,0.025,0.046,0.200,0.092,0.000,0.045,0.200,0.066,4,16.8869583,-13.2713611
g0107418-025645,1,0.750,0.095,-0.023,0.104,0.210,0.048,0.175,0.071,4,16.9240833,-2.9456944
g0108030-433140,1,0.825,0.101,-0.001,0.103,0.240,0.050,0.225,0.073,7,17.0123750,-43.5278611
g0108131-133916,1,0.950,0.073,-0.639,0.117,0.440,0.088,-0.225,0.056,9,17.0547083,-13.6544444
g0108158-180004,1,0.875,0.090,-0.351,0.092,0.320,0.053,-0.050,0.052,4,17.0657917,-18.0009722
g0108306-145705,1,0.475,0.068,-0.127,0.106,0.400,0.048,0.250,0.069,6,17.1275833,-14.9513333
g0108356-170047,1,0.925,0.069,-0.176,0.059,0.320,0.035,0.125,0.037,3,17.1483333,-17.0130000
g0108398-152952,1,0.525,0.091,0.503,0.089,-0.030,0.047,0.475,0.073,8,17.1657917,-15.4977222
g0108401-155117,1,1.025,0.055,-0.474,0.080,0.530,0.054,0.025,0.041,8,17.1672083,-15.8546389
g0108497-155655,1,1.025,0.027,-0.126,0.045,0.240,0.026,0.100,0.028,5,17.2071250,-15.9485833
g0108525-003919,1,0.925,0.074,-0.045,0.071,0.180,0.047,0.125,0.047,7,17.2186667,-0.6552778
g0108584-823541,1,0.900,0.098,0.137,0.083,0.120,0.046,0.250,0.057,3,17.2431250,-82.5947778
g0109111-163502,1,0.500,0.084,0.175,0.113,0.000,0.055,0.175,0.075,5,17.2963750,-16.5839167
g0109223-014145,1,0.925,0.059,-0.427,0.058,0.400,0.037,-0.050,0.034,6,17.3427500,-1.6958611
g0109228-463943,1,0.925,0.046,-0.129,0.046,0.270,0.024,0.125,0.031,6,17.3450833,-46.6619167
g0109253-162149,1,1.050,0.025,-0.182,0.045,0.060,0.033,-0.125,0.021,4,17.3552083,-16.3636389
g0109332-354820,1,0.900,0.055,0.049,0.047,0.240,0.028,0.275,0.032,1,17.3884167,-35.8056111
g0109391-611960,1,1.175,0.021,-0.232,0.060,0.060,0.051,-0.175,0.027,7,17.4128333,-61.3332500
g0109397-455931,1,1.025,0.025,-0.433,0.035,0.380,0.028,-0.075,0.020,2,17.4153333,-45.9918889
g0109430-553622,1,0.125,0.065,0.110,0.208,-0.090,0.108,0.025,0.126,4,17.4289583,-55.6059722
g0110050-153352,1,0.675,0.091,0.262,0.093,0.120,0.044,0.375,0.060,4,17.5208750,-15.5644444
g0110066-154059,1,0.575,0.120,-0.032,0.146,0.060,0.073,0.025,0.086,7,17.5274167,-15.6830000
g0110286-613333,1,0.600,0.075,-0.051,0.096,0.240,0.051,0.175,0.063,3,17.6192917,-61.5591667
g0110341-523324,1,1.050,0.014,-0.095,0.043,0.340,0.033,0.225,0.021,2,17.6419583,-52.5565556
g0110379-120208,1,0.300,0.061,-0.321,0.132,0.420,0.081,0.075,0.065,5,17.6578750,-12.0355278
g0110414-153112,1,1.075,0.012,-0.339,0.045,0.360,0.031,0.000,0.025,5,17.6723333,-15.5200278
g0110417-154605,1,1.075,0.045,-0.277,0.056,0.480,0.033,0.175,0.038,5,17.6737500,-15.7680833
g0110544-185750,1,0.450,0.056,0.302,0.076,0.210,0.031,0.500,0.070,6,17.7267917,-18.9638611
g0110597-172853,1,0.925,0.095,-0.193,0.127,-0.060,0.089,-0.250,0.065,8,17.7489167,-17.4812778
