2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks,d_mpc,M_K,M_pred,residual,mu_fj,d_fj_mpc
J15342434-1329382,13.546,0.561,6.0,13.0,0.424,12.775,0.38,g1534243-132938,1,,15.57343,-13.494,7563,0.112,-0.025,-0.069,2.85,3.186,3.304,2.145,2.0,,,,,3.9235,0.1641,1,0,0,107.26138136434548,-22.37721692859533,-23.977792844912763,1.6005759163174318,36.75279284491276,224.1602328037179
J15342946-0448213,13.377,0.561,2.46,12.678,0.556,12.159,0.625,g1534295-044821,1,,15.57485,-4.80592,10318,0.242,0.237,0.306,2.941,3.07,3.066,2.066,3.0,,,,,4.6047,0.0695,1,1,1,146.33385335413416,-23.667724044301234,-23.7185832244053,0.05085918010406587,35.8775832244053,149.80166653133844
J15344078-1504192,12.215,0.445,4.64,11.455,0.46,11.258,0.405,g1534408-150420,1,p,15.57799,-15.07208,7413,-0.012,0.003,-0.052,3.609,3.729,3.859,2.264,2.0,,,,,3.3592,0.155,1,1,1,105.13402354275989,-23.850716427223496,-24.36824784289236,0.5175314156688628,35.626247842892354,133.42879643300162
J15345311-1814534,12.723,0.377,5.89,11.916,0.417,11.753,0.316,g1534531-181453,1,p,15.58142,-18.24817,7653,-0.067,-0.027,-0.128,3.538,3.628,3.837,2.096,1.0,,,,,2.4867,0.286,1,1,1,108.53779605729683,-23.42490499326205,-23.8170172575094,0.39211226424734846,35.5700172575094,130.01799110118606
J15350290-1208392,12.814,0.799,4.47,12.015,0.864,12.021,0.644,g1535029-120839,1,,15.58414,-12.14419,15597,0.65,0.715,0.495,2.725,2.751,3.09,2.159,4.0,,,,,8.7025,0.0208,1,1,1,221.20266628846971,-24.702951787380997,-24.023728727028008,-0.6792230603529887,36.04472872702801,161.78779102927967
J15352824-3307053,12.698,0.616,6.0,11.915,0.63,11.979,0.356,g1535283-330706,1,p,15.59118,-33.11822,13042,0.394,0.408,0.134,3.174,3.277,3.702,2.455,2.0,,,,,2.5487,0.3141,1,1,1,184.96667139412847,-24.35646740597199,-24.994944520321795,0.6384771143498043,36.973944520321794,248.1926431124709
J15353061-0107101,13.334,0.408,6.0,12.485,0.498,12.242,0.385,g1535306-010710,1,p,15.59184,-1.11942,16280,0.277,0.367,0.254,3.289,3.29,3.514,2.259,1.0,,,,,7.4811,0.0306,0,0,0,230.88923556942277,-24.575018429380698,-24.35184217070834,-0.2231762586723569,36.59384217070834,208.33797286238047
J15353708-1617416,13.0,0.407,3.78,12.303,0.383,12.045,0.344,g1535371-161742,1,,15.59363,-16.29497,7502,-0.054,-0.078,-0.117,3.362,3.538,3.662,2.27,1.0,387.0,3.0,2.0,7355.0,3.193,0.1593,1,1,1,106.396255850234,-23.089631725688307,-24.387934649513177,1.2983029238248704,36.43293464951318,193.45810523774574
J15354403-1646566,12.217,0.565,6.0,11.519,0.542,11.284,0.486,g1535440-164657,1,p,15.59557,-16.78242,6992,0.104,0.081,0.025,3.365,3.537,3.685,2.18,1.0,387.0,3.0,2.0,7355.0,2.9678,0.1754,1,1,1,99.163239256843,-23.69775352474652,-24.09263255020088,0.39487902545435816,35.37663255020088,118.93960997680433
J15360214-0529123,13.565,0.339,2.7,12.617,0.416,12.583,0.284,g1536021-052912,1,p,15.60059,-5.48672,10226,0.016,0.093,-0.039,3.298,3.368,3.574,2.15,1.0,,,,,5.5464,0.0512,1,1,0,145.02907389022832,-23.224275368567376,-23.994198517096777,0.7699231485294007,36.577198517096775,206.74723182544798
